 genus ;coloniality;notes
 Allotropiochisma (Abeophyllum);solitary;
Allotropiochisma (Alligia);solitary;
Allotropiochisma (Allotropiochisma) ;solitary;Allotropiochisma
Antiphyllum (Antiphyllites);solitary;
Assimulia (Assimulia);solitary;Assimulia
Assimulia (Ericina);solitary;Ericina
Australophyllum (Toquimaphyllum);colonial;Toquimaphyllum
Batangophyllum;unknown;W. S. Wu, 1979 Late Palaeozoic Rugosa corals from Batang and Yidun, western Szechuan
Billingsastraea;colonial;
Bouvierphyllum;unknown;R. A. McLean, 1984 - Frasnian rugose corals of western Canada, part 1: Chonophyllidae and Kyphophyllidae - Palaeontographica Abteilung A (185), 1-38
Brachyelasma;solitary;
Breviseptosia;unknown;R. Birenheide and F. M. Soto. 1992. Rugose Einzel- und Phaceloid-Korallen aus dem Ober-Givetium (Mittel-Devon) des Kantabrischen Gebirges, NW Spanien [Upper Givetian (Middle Devonian) solitary and phaceloid rugose corals from the Cantabrian Mountains, NW Spain]
Calophyllum (Groenlandophyllum);solitary;Groenlandophyllum
Carcinophyllum;solitary;
Careophyllum;colonial;
Carinowaagenophyllum;colonial;
Chihsiaphyllum;colonial;
Chombungia;colonial;
Chusenophyllum;colonial;
Circellia;solitary;
Complexophyllum;unknown;
Cosjuvia;colonial;
Cryptophyllum;solitary;Pentaphyllum
Cystiphyllum (Gyaloplasma);colonial;
Cystiphyllum (Hedstroemophyllum);colonial;
Delepinella;solitary;
Densiphyllum;solitary;
Dialeptophyllum;unknown;J. J. Sepkoski, Jr., 2002 - A compendium of fossil marine animal genera - Bulletins of American Paleontology (363), 1-560 (serial monograph, English)
Diffusolasma;solitary;
Eastonastraea;colonial;
Ecnomiophyllum;unknown;A. E. H. Pedder, 1997 - Lochkovian Rugosa of Nevada - Geological Society of America Special Paper (321), 341-385 (serial monograph, )
Eurekaphyllum;solitary;
Fedorowskiella;colonial;
Gaynaphyllum;colonial;
Geyeronaotia;colonial;
Gryphophyllum;unknown;D. Hill. 1981. Rugosa and Tabulata. Treatise on Invertebrate Paleontology 1(F)
Gyanyimaphyllum;colonial;
Heliophylloides;solitary;
Hillastraea;both;
Huayunophyllum;colonial;
Humboldtia;solitary;Keyserlingophyllum
Iranophyllum (Iranophyllum);solitary;Iranophyllum
Iranophyllum (Laophyllum);solitary;
Kakisaphyllum;unknown;R. A. McLean, 1984 - Frasnian rugose corals of western Canada, part 1: Chonophyllidae and Kyphophyllidae - Palaeontographica Abteilung A (185), 1-38 (journal article, English)
Kakwiphyllum;solitary;Vesiculophyllum
Keriophyllum;solitary;Peripaedium
Khmerophyllum;solitary;LophophyIlidium
Kyphophyllum;both;
Labechiellata;colonial;
Lamprophyllum;solitary;
Laroonaphyllum;colonial;
Lasmophyllum;unknown;G. S. Kropatcheva, 1989 - Taxonomic names: corals - Evolution of the latest Permian biota: Midian regional stage in the USSR (), 1-184 (book/book chapter, Russian)
Lekanophyllum;both;
Lithostrotionella (Hillia);colonial;Lithostrotionella
Liuzhaiphylloides;unknown;Y. J. Ding. 1995. On some Asselian corals in Nandan, Guangxi. Professional Papers of Stratigraphy and Palaeontology
Liuzhaiphyllum;unknown;W. S. Wu, 1987 - A study on some Asselian corals - Acta Palaeontologica Sinica (26), 149-157 (journal article, Chinese)
Loboplasma;colonial;
Lomaphyllum;unknown;S. Guo, 1983 - Middle and Upper Carboniferous rugose corals from southern Dahinganling (Great Khingan Mts.) - Acta Palaeontologica Sinica (22), 220-230
Lophophyllidium (Lophbillidium);solitary;
Lophophyllidium (Lophophyllidium);solitary;Lophophyllidium
Loyolophyllum (Fasciloyolopyllum);solitary;Loyolophyllum
Macgeea;solitary;
Maichelasma;solitary;Pleophyllum
Malpaisia;colonial;
Maoyingophyllum;colonial;Wentzelellites
Mictocystoides;colonial;
Mikkwaphyllum;unknown;R. A. McLean, 1984 - Frasnian rugose corals of western Canada, part 1: Chonophyllidae and Kyphophyllidae - Palaeontographica Abteilung A (185), 1-38 (journal article, English)
Monsteraphyllum;unknown;X. G. Yu and X. S. Zhu. 1988. Rugose corals from the upper part of the Hutian Group of Gaoan, Jiangxi. Professional Papers of Stratigraphy and Palaeontology 21:81-101 
Nanophyllum;colonial;
Nothophyllum;unknown;W. S. Wu, 1987 - A study on some Asselian corals - Acta Palaeontologica Sinica (26), 149-157 (journal article, Chinese)
Noviphyllum;solitary;
Pachyphyllum;colonial;Phillipsastrea
Pantophyllum;unknown;McLean R. A., Sorauf J. E. (1988) The distribution of rugose corals in Frasnian outcrop sequences of North America, Devonian of the World, Volume III. Canadian Society of Petroleum Geologists. Calgary, Alberta, Canada, 379-396
Paracarruthersella;both;
Paraduplophyllum (Paraduplophyllum);solitary;Paraduplophyllum
Paraduplophyllum (Vacoea);solitary;
Parairanophylloides;colonial;
Parapavona;colonial;
Parawentzelella (Parawentzelella);colonial;Parawentzelella
Pavastehphyllum (Pavastehphyllum) ;solitary;Pavastehphyllum
Pavastehphyllum (Sakamotosawanella);solitary;Pavastehphyllum
Peiraphyllum;unknown;Z. G. Zhu, 1992 - Late late Carboniferous and earliest Permian rugose corals from Jiangxi - Acta Palaeontologica Sinica (31), 657-677 (journal article, Chinese)
Petraphyllum;unknown;H. W. Flügel, 1989 - Rugosa aus dem Perm des N-Karakorum und der Aghil-Kette - Geologisch-Paläontologische Mitteilungen Innsbruck (17), 101-117 (journal article, German)
Pexiphyllum;solitary;
Pilophyllum;solitary;
Plerodiffia;solitary;
Porpites;solitary;
Preisingerella;solitary;
Prodarwinia;solitary;
Pseudomicroplasma;solitary;
Pseudopexiphyllum;unknown;
Pseudozaphrentis;solitary;
Qinglongshanophyllum;unknown;X. G. Yu, 1982 - Anthozoan taxonomic names - Palaeontological Atlas of East China (2), 108-179 (book/book chapter, Chinese)
Ramiphyllum;solitary;Amygdalophyllum
Rhapidophyllum;unknown;D. Hill, 1956 - Rugosa - Treatise on Invertebrate Paleontology (F), 233-323 (serial monograph, English)
Ruteha;unknown;"H. W. Flügel, 1994 - Rugosa aus dem ""Mittel""-Perm des Zentralen Elburz (Iran) - Abhandlungen der Geologischen Bundesanstalt (50), 97-113 (journal article, German)"
Schindewolfia;solitary;
Spongophyllum (Beugniesastraea);colonial;Spongophyllum
Streptelasma (Kenophyllum);solitary;Kenophyllum
Streptelasma (Streptelasma);solitary;Streptelasma
Synamplexoides;solitary;
Thecaspinellum;solitary;Stortophyllum
Tungussophyllum;solitary;
Vesotabularia (Eovesotabularia);unknown;X. G. Yu, 1988 - Rugose corals from the upper part of the Hutian Group of Gaoan, Jiangxi - Professional Papers of Stratigraphy and Palaeontology (21), 81-101 (journal article, Chinese)
Waagenophyllum (Liangshanophyllum);colonial;
Waagenophyllum (Waagenophyllum);colonial;Waagenophyllum
Wentzelella (Wentzelella);colonial;Wentzelella
Wentzelloides (Wentzelloides);colonial;Wentzelloides
Wentzellophyllum (Armeniaphyllum);colonial;
Wentzellophyllum (Wentzellophyllum);colonial;Wentzellophyllum
Xainzaphyllum;unknown;Z. J. Wang, 1983 - Two new tetracorals Xizangophyllum and Xainzaphyllum from the lower Permian of Xizang - Contribution to the Geology of the Qinghai-Xizang (Tibet) Plateau 2 - Stratigraphy and Palaeontology (2), 258-264 (book/book chapter, Chinese)
Yokoyamaella (Maoriphyllum);colonial;
Yokoyamaella (Yokoyamaella);colonial;Yokoyamaella
Zhurihephyllum;unknown;Y. Ding. 1987. Some new species of Early Permian corals from Ulanqab Meng, Inner Mongolia. Diceng Gushengwu Lunwen Ji = Professional Papers of Stratigraphy and Palaeontology 17:277-296